NodeIndex,x,y,velocity
185,0.160162992,0.931012178,9.133892332
186,0.215860363,0.955861817,9.203612393
187,0.195175415,0.936768578,9.150538461
188,0.093543992,0.852501322,9.022309934
189,0.140226337,0.887133488,9.062963649
190,0.099216327,0.77496063,9.008133073
191,0.106198454,0.566546956,9.001181926
192,0.105433798,0.633384375,9.001747242
193,0.104020013,0.699607251,9.002982614
194,0.385964912,0.992045538,8.455884552
195,0.421052632,0.992101518,8.433618576
196,0.315786565,0.982318883,9.332858582
197,0.350885206,0.982370244,9.320390325
198,0.277599356,0.969215718,9.276179819
199,0.254618021,0.949803305,9.182116843
200,0.313362888,0.969553536,9.278280703
201,0.456140351,0.992146697,8.418038457
202,0.49122807,1.0,0.0
203,0.631578947,0.0,0.0
204,0.596491228,0.008013964,8.29741175
205,0.666666667,0.0,0.0
206,0.561390143,0.017511759,9.286778207
207,0.160230213,0.465085063,9.00218935
208,0.159854775,0.532955104,9.002220083
209,0.421765727,0.04619433,9.197733755
210,0.496196797,0.029584258,9.299263099
211,0.529885288,0.029866449,9.293621747
212,0.45689344,0.045493352,9.200351013
213,0.490300567,0.044369333,9.203968585
214,0.404275911,0.072820202,9.127447296
215,0.337011957,0.105635497,9.07718632
216,0.384595129,0.108463804,9.07347282
217,0.312989051,0.15638487,9.043201071
218,0.302765025,0.212749829,9.025911479
219,0.266398595,0.242538177,9.018538557
220,0.219718094,0.27670597,9.011178618
221,0.214302436,0.359919899,9.005495301
222,0.21476806,0.430212449,9.003924298
223,0.19144197,0.905887565,9.094088303
224,0.233056101,0.921638273,9.117268672
225,0.144838927,0.826665012,9.023842941
226,0.188659468,0.85606013,9.04555446
227,0.150879548,0.737674472,9.009057296
228,0.158925093,0.600422695,9.002928308
229,0.15741064,0.667427732,9.00448059
230,0.385977729,0.982500184,9.30782734
231,0.421065373,0.98262334,9.29726586
232,0.347970509,0.969046132,9.275253251
233,0.382333548,0.969246285,9.27419914
234,0.289276164,0.951859205,9.185188347
235,0.270553845,0.929463399,9.131191331
236,0.321452874,0.952741325,9.185486674
237,0.456151861,0.982722732,9.288143704
238,0.49122807,0.992196573,8.400541465
239,0.526315789,1.0,0.0
240,0.561403509,1.0,0.0
241,0.631578947,0.00806136,8.32164647
242,0.596478295,0.01763072,9.287283475
243,0.701754386,0.0,0.0
244,0.666666667,0.008101791,8.337213498
245,0.566413859,0.028208503,9.29666166
246,0.214123501,0.499098868,9.003487054
247,0.21283089,0.567022114,9.003996749
248,0.441229065,0.071537503,9.129166159
249,0.556801392,0.045796503,9.195919119
250,0.523973049,0.044150424,9.203260364
251,0.475930243,0.068096071,9.135588528
252,0.504799373,0.063152479,9.145389595
253,0.425283342,0.107492316,9.074240754
254,0.366166372,0.159760939,9.041715405
255,0.40751095,0.153206105,9.044474146
256,0.350354357,0.220167671,9.024921
257,0.318246228,0.269898905,9.016240108
258,0.279301888,0.320835897,9.009688449
259,0.270151835,0.394962561,9.006083539
260,0.269098613,0.46537661,9.005006113
261,0.736842105,0.0,0.0
262,0.232329172,0.876594712,9.065018958
263,0.271704147,0.895083591,9.083509927
264,0.197682092,0.782697673,9.019547036
265,0.23154567,0.821222833,9.034452636
266,0.206927162,0.701573933,9.0094014
267,0.211468151,0.634994989,9.005511034
268,0.417732246,0.96955296,9.274245725
269,0.45248504,0.970526912,9.274929273
270,0.359794769,0.950037846,9.173083903
271,0.390270064,0.953032144,9.179355233
272,0.307240598,0.920279167,9.114010124
273,0.341626749,0.930540416,9.130829313
274,0.486405287,0.970125022,9.270181736
275,0.491236535,0.98283246,9.279289681
276,0.526315789,0.992227132,8.38854209
277,0.596491228,1.0,0.0
278,0.561403509,0.9922115,8.397880591
279,0.631578947,1.0,0.0
280,0.631567455,0.017734993,9.284190642
281,0.599304946,0.030633353,9.286470901
282,0.701754386,0.008136,8.347553533
283,0.666657024,0.017823941,9.283990741
284,0.589272556,0.047857509,9.184833698
285,0.267263797,0.533555735,9.005067657
286,0.265196188,0.601022353,9.006183415
287,0.572024561,0.066423449,9.133948814
288,0.463288986,0.103052248,9.079349106
289,0.53628989,0.073199188,9.119788897
290,0.499299876,0.094504448,9.090262301
291,0.450847688,0.148030363,9.047005139
292,0.399466348,0.215608468,9.026556092
293,0.435391949,0.197311427,9.031354151
294,0.33924081,0.314431185,9.011799488
295,0.379288974,0.276641354,9.016334842
296,0.328765767,0.368239227,9.008569205
297,0.324888031,0.433128194,9.00666257
298,0.322031798,0.500712643,9.006200616
299,0.771929825,0.0,0.0
300,0.736842105,0.008160008,8.35244916
301,0.807017544,0.0,0.0
302,0.276033978,0.841374797,9.044782949
303,0.311011189,0.881151197,9.071198138
304,0.26200229,0.75409173,9.01837342
305,0.26381757,0.67016355,9.0092196
306,0.424542313,0.953425528,9.177826793
307,0.457071141,0.956003162,9.18463321
308,0.410401955,0.932859217,9.128041847
309,0.377675129,0.921233119,9.110408926
310,0.345349452,0.899110089,9.087425376
311,0.494520963,0.953031253,9.171250303
312,0.51471129,0.96910016,9.26353925
313,0.52631737,0.98289969,9.271867512
314,0.596491228,0.992165855,8.418975098
315,0.561397598,0.9828653,9.267058815
316,0.666666667,1.0,0.0
317,0.631578947,0.992120534,8.434916751
318,0.701754386,1.0,0.0
319,0.634944343,0.03059523,9.285952624
320,0.626095929,0.046105545,9.189579589
321,0.701747283,0.0178992,9.284087432
322,0.669465208,0.03078678,9.284459089
323,0.605478864,0.075191595,9.115356477
324,0.319579397,0.567709012,9.006837335
325,0.316096924,0.632623252,9.008663271
326,0.567578278,0.099903545,9.085359911
327,0.488262502,0.142446658,9.050365916
328,0.527195522,0.12020714,9.065031772
329,0.473738312,0.197260118,9.031720681
330,0.440212753,0.252688601,9.020214085
331,0.382381633,0.338530307,9.010961426
332,0.423353279,0.30743972,9.013847415
333,0.381596146,0.401065076,9.0085627
334,0.377604368,0.468416532,9.007378163
335,0.373590554,0.535754255,9.007503576
336,0.842105263,0.0,0.0
337,0.771929825,0.008163937,8.351154537
338,0.736838956,0.017952017,9.285195093
339,0.807017544,0.008142621,8.341728938
340,0.877192982,0.0,0.0
341,0.322205286,0.824429649,9.039790496
342,0.30770687,0.77836477,9.025558837
343,0.352668628,0.84619543,9.049781728
344,0.324273391,0.706388095,9.014593962
345,0.477720851,0.934922566,9.130164017
346,0.445076688,0.92619346,9.113852576
347,0.416450653,0.898376644,9.085351252
348,0.385740715,0.871829896,9.06527849
349,0.50873509,0.928891389,9.119247785
350,0.52974138,0.950896921,9.163976174
351,0.556185871,0.969743363,9.26349648
352,0.596481924,0.982764882,9.265429839
353,0.591274593,0.97061785,9.264782336
354,0.666666667,0.992097619,8.438167864
355,0.63157142,0.982665175,9.265627232
356,0.736842105,1.0,0.0
357,0.701754386,0.992100997,8.434314967
358,0.771929825,1.0,0.0
359,0.661464338,0.046447538,9.185128791
360,0.641099295,0.06726333,9.131278724
361,0.704069143,0.030754561,9.28448456
362,0.696833392,0.046426978,9.183038221
363,0.636771119,0.101390648,9.085897032
364,0.597835174,0.121885862,9.066607718
365,0.371220144,0.600713638,9.008766631
366,0.36850052,0.655514537,9.011365556
