x,y
1.43137377,0.185578321
1.583466112,0.120212973
1.623914451,0.099702349
1.661136839,0.074637704
1.716418581,0.04573798
1.697397358,0.06803971
1.758801505,0.030333857
1.747808797,0.048403441
1.793323271,0.028097251
1.832453106,0.030852697
1.894806001,0.015625542
1.874823349,0.03031671
1.929871196,0.01498431
1.9649316,0.014663694
2,0.006665315
1.298245614,1
1.333333333,0.991903526
1.214513752,0.921405768
1.192894619,0.886608847
1.267682474,0.952703419
1.247609912,0.929119772
1.183903467,0.787361161
1.21160468,0.836731876
1.197226052,0.737053365
1.330044563,0.968714966
1.303541168,0.951918135
1.3684133,0.982117882
1.364703893,0.969195031
1.188121622,0.682081211
1.257074013,0.474150917
1.25467981,0.526350436
1.216645278,0.624308305
1.244456057,0.579034626
1.343344025,0.34082215
1.324717862,0.396113345
1.308887594,0.450819025
1.415349679,0.262371277
1.398195272,0.320908905
1.542829224,0.15067184
1.50977429,0.174203834
1.477735006,0.225985263
1.576693947,0.171638162
1.61246376,0.148257976
1.653832033,0.120376234
1.695422749,0.099840249
1.7317945,0.077055088
1.784342265,0.046699775
1.766781543,0.069410677
1.818091524,0.05101866
1.8567851,0.051735878
1.910294225,0.02836397
1.895162506,0.045988315
1.936952862,0.025807623
1.97232088,0.022159672
2,0.014663694
1.333333333,1
1.368421053,0.991871765
1.403502482,0.982058825
1.243143071,0.890435029
1.284321055,0.923055162
1.231132503,0.780512233
1.258235043,0.82950298
1.240669694,0.720070007
1.341536464,0.949760087
1.32198753,0.929312562
1.400430623,0.969574389
1.377769239,0.949777908
1.253144825,0.666221673
1.313240552,0.508171436
1.296130182,0.563601222
1.27330118,0.615523621
1.346255366,0.472104861
1.377540739,0.3766278
1.357348417,0.42973786
1.455151671,0.301341895
1.433165896,0.358485019
1.543081649,0.214429636
1.514409193,0.286496378
1.605725643,0.212530015
1.64491872,0.167709877
1.683668918,0.15061794
1.726379924,0.124717738
1.767022666,0.105833388
1.798357377,0.079443584
1.840316433,0.081253184
1.882755115,0.07218695
1.930213805,0.044131781
1.915899949,0.063574158
1.967434643,0.037624206
2,0.029673173
1.368421053,1
1.403508772,0.99184492
1.43859204,0.982011769
1.436025258,0.96896833
1.290226213,0.871913565
1.322725576,0.89777917
1.281335625,0.766781934
1.300393972,0.817446632
1.298669605,0.711849415
1.360299847,0.918442776
1.409132147,0.953565123
1.394893524,0.929016793
1.314278168,0.655466237
1.362539718,0.504295523
1.355947624,0.550306547
1.335155867,0.602220667
1.38926055,0.467500458
1.412505432,0.41467824
1.48990368,0.342605598
1.466253109,0.395444861
1.574404238,0.279481964
1.547396437,0.329761986
1.625082172,0.274355086
1.669031186,0.217974859
1.715248373,0.177596102
1.763867475,0.158753924
1.814095723,0.131244235
1.869950935,0.114210786
1.914863419,0.094323014
1.955440543,0.067566758
2,0.050923689
1.403508772,1
1.438596491,0.991823531
1.473682195,0.981981289
1.470745817,0.968825345
1.445485427,0.951336003
1.334271055,0.848228563
1.36655892,0.87167646
1.337901922,0.770806117
1.352060526,0.697103911
1.399017107,0.895764649
1.4292642,0.924052939
1.373337005,0.639878135
1.409057752,0.521913511
1.395565315,0.586128254
1.451543396,0.460331968
1.523066869,0.38407386
1.503531093,0.429092811
1.571948625,0.374255651
1.611953471,0.3318362
1.674077536,0.299989438
1.734943343,0.240002298
1.801348352,0.205290003
1.857488907,0.177383436
1.909008641,0.137957475
