 x,y,velocity
0.771010545,0.400788408,9.012046675
0.695904708,0.660790912,9.014476068
0.715719009,0.609640689,9.012410863
0.759764837,0.456186729,9.011230974
0.733962026,0.56007323,9.011369264
0.749450031,0.510392689,9.011050773
1.05604547,0.03092308,9.260672627
1.087723217,0.01784767,9.26328213
1.047362814,0.046924876,9.169868478
0.954518734,0.112103554,9.080802878
0.923607635,0.152801921,9.053562528
0.900699114,0.219071759,9.029543051
0.989693476,0.100239793,9.091320537
1.026375274,0.075688433,9.116658315
1.090718984,0.030962288,9.258297012
1.122814283,0.017797695,9.259889985
0.914927679,0.950387345,9.156078258
0.935175564,0.968494938,9.24197801
0.947378339,0.982794415,9.242782564
0.734561549,0.708987441,9.018290869
0.771574539,0.771030697,9.028620077
0.81731862,0.820363014,9.042511575
0.893464511,0.928032753,9.115791808
0.873948972,0.893654996,9.081730416
0.84791621,0.857973106,9.058314439
0.875930734,0.28484139,9.018934529
0.815676925,0.443584733,9.011546186
0.853271773,0.340745863,9.014221013
0.832256556,0.392731255,9.012413912
0.755522525,0.65458597,9.014324836
0.777090724,0.602051903,9.01236952
0.808471854,0.499654163,9.011252912
0.798973129,0.551707628,9.011504953
1.082886492,0.046788311,9.169489785
1.06264422,0.067543448,9.128960391
0.933344113,0.271580965,9.020886534
0.973812603,0.146880557,9.057006904
0.955905709,0.203608608,9.034389959
1.018580443,0.122800807,9.072330228
1.058347603,0.101279792,9.090614092
1.125580818,0.030990592,9.25632634
1.157905646,0.017730546,9.256003684
1.116533383,0.048493538,9.163596198
1.161594567,0.031397412,9.252903515
1.192997189,0.017619948,9.250139534
1.197665174,0.030814239,9.251013854
1.228085614,0.01746097,9.244102036
0.928509663,0.929897578,9.117255904
0.949843283,0.951090001,9.158872431
0.977469017,0.969691887,9.241200103
0.982458723,0.982898556,9.236651581
0.793168432,0.70104561,9.017654655
0.83253277,0.747447115,9.02411411
0.866210867,0.798053068,9.036195202
0.911877152,0.89162724,9.080348897
0.894911432,0.846364975,9.052695368
0.851960608,0.477247328,9.011441978
0.910963041,0.326778318,9.015223891
0.870283621,0.435066685,9.0117992
0.889552601,0.382095263,9.012802552
0.967451513,0.311972585,9.016411014
0.816595488,0.644999391,9.013987824
0.839258318,0.590438845,9.012232624
0.862401384,0.528978358,9.011473671
1.097265788,0.076064667,9.115982417
0.98599151,0.251442135,9.024384155
1.002802346,0.178394611,9.042588219
1.047066505,0.152827028,9.054207256
1.089979056,0.123062381,9.072708042
1.232675651,0.030041686,9.248444126
1.263168466,0.017314956,9.238778829
1.149987708,0.050420402,9.156364907
1.133606868,0.070849371,9.123352418
1.186045432,0.050706514,9.156164142
1.224443298,0.047928463,9.164962924
1.267519551,0.030059528,9.244334265
1.298247452,0.017249647,9.234443502
1.303251757,0.029708036,9.241172587
1.333326529,0.017284473,9.230647706
0.947883122,0.897997052,9.084763405
0.965825059,0.928507828,9.114652354
0.984884172,0.951933817,9.161378208
1.012776339,0.970256366,9.23919853
1.017535995,0.982864699,9.232894695
1.046497532,0.970668549,9.237535902
1.05261875,0.982717729,9.232774949
0.850637237,0.689475334,9.016801218
0.884079604,0.734478607,9.021980915
0.917701255,0.787414309,9.033534828
0.948776219,0.851651481,9.055332359
0.901462461,0.480871044,9.011557333
0.946207766,0.369407952,9.013312606
0.92433285,0.427841504,9.012011245
1.02361227,0.295408537,9.018104475
1.002444102,0.354153578,9.014015075
0.872714584,0.632993152,9.013583017
0.895932847,0.577660795,9.012142514
0.924745466,0.525889289,9.011615271
1.129744775,0.10508982,9.086927479
1.047436817,0.221357072,9.030485009
1.083045041,0.172100815,9.047035829
1.121673343,0.154214375,9.055046069
1.263276513,0.045941532,9.169807677
1.169941347,0.082228091,9.107937177
1.208063415,0.070826697,9.122597039
1.24193466,0.075016387,9.11695171
1.298472059,0.045269936,9.17196059
1.338815347,0.029386805,9.238878072
1.36840873,0.017391061,9.22872712
1.332793336,0.043878742,9.175697401
1.37276848,0.029424826,9.237016578
1.403495023,0.017525543,9.228807104
0.980801433,0.891677868,9.079036165
1.000111183,0.926726084,9.112033151
1.019355715,0.952714031,9.164047674
1.054003748,0.955946919,9.17294773
1.081450396,0.970298787,9.235991286
1.087710176,0.982575302,9.235863498
0.904690045,0.679757872,9.016187496
0.936374147,0.726413304,9.020786811
0.96675155,0.781541915,9.032176945
0.994414259,0.837668584,9.049783635
1.078064852,0.280589167,9.020243544
0.962355615,0.477960428,9.01170564
0.982482477,0.413580239,9.012337144
1.057201474,0.338177643,9.014927911
1.037668531,0.396323701,9.012779324
0.926380105,0.624881974,9.013421121
0.948957089,0.572433143,9.01220077
0.970252023,0.530751814,9.011761254
1.166603707,0.124015489,9.072164064
1.111475198,0.21873721,9.031327843
1.152801041,0.181653235,9.043489122
1.126192242,0.277943636,9.020966084
1.281364996,0.070962958,9.122249916
1.212652278,0.108339291,9.08230319
1.262192992,0.10744138,9.082503955
1.317545814,0.066853609,9.128665109
1.406598936,0.030168631,9.234779804
1.438584786,0.017648775,9.230868014
1.441917827,0.030550311,9.232462647
1.473676394,0.017734465,9.2329738
1.36735847,0.043921469,9.173822574
1.347757555,0.061677403,9.137190377
1.400492359,0.04552068,9.168944696
1.019549213,0.889166858,9.077726546
1.038141831,0.926818642,9.113412294
1.069050442,0.935103618,9.127433711
1.11648058,0.970829101,9.235000576
1.122804127,0.982544534,9.234980324
1.088439061,0.955180729,9.169707609
0.957284465,0.671847631,9.015723589
0.987412813,0.721234649,9.020138745
1.015787583,0.781559975,9.032322521
1.04068176,0.839223346,9.05065022
1.110228099,0.323582543,9.016099458
1.011292987,0.51094822,9.011776243
1.021882784,0.455789727,9.011965002
1.091189407,0.379006454,9.013318684
1.07073663,0.437132145,9.012211758
0.978695469,0.614651136,9.013206143
0.99758613,0.562839214,9.012166779
1.037910245,0.544974545,9.01205747
1.201646986,0.168106827,9.048838385
1.171566994,0.239111875,9.026858147
1.16176334,0.303831861,9.017816573
1.302974428,0.100635435,9.088565821
1.246279058,0.158922099,9.052690892
1.286683066,0.146294784,9.058753883
1.480014596,0.028536182,9.236255578
1.50876772,0.017775428,9.236139614
1.512007042,0.030968363,9.230357797
1.543857467,0.017791141,9.234621811
1.34242129,0.092783698,9.096996915
1.46988308,0.046527164,9.167079682
1.435930989,0.045388572,9.169175192
1.380340542,0.072292933,9.119861262
1.41536704,0.066550493,9.12894356
1.546629324,0.030750039,9.230598855
1.578946325,0.017804638,9.23404229
1.582403325,0.031031929,9.229567546
1.614035362,0.017810331,9.232727811
1.151388239,0.969185406,9.229544235
1.157892627,0.982572438,9.230267902
1.066565214,0.895770136,9.083268896
1.098879726,0.925695076,9.114985095
1.121003513,0.952708046,9.163698613
1.084527875,0.839719506,9.051134536
1.010100201,0.664347573,9.015344162
1.03884226,0.719962165,9.02016351
1.062962693,0.780083565,9.032105771
1.144779092,0.362093948,9.014062788
1.066760462,0.498793626,9.011897186
1.126522616,0.416728745,9.012583186
1.111232616,0.466123053,9.012078808
1.038408967,0.603276426,9.012970533
1.082980732,0.558455789,9.012309125
1.231990782,0.228402509,9.029863168
1.213527216,0.287671005,9.019738633
1.197743655,0.343946992,9.015064904
1.329070188,0.133900183,9.066160818
1.278865397,0.205335212,9.036318122
1.31573318,0.176986031,9.046072076
1.502924635,0.048229615,9.161263844
1.537583114,0.048127681,9.160612719
1.485242684,0.068839064,9.126869027
1.370379767,0.117693473,9.076210462
1.449064914,0.077451674,9.11363972
1.411210064,0.100673307,9.090917103
1.571960284,0.046976655,9.162543225
1.618313725,0.030428785,9.230236835
1.649124032,0.017796565,9.232008943
1.608330911,0.047548651,9.160636327
1.652814572,0.030433286,9.229589911
1.684212225,0.017783818,9.230483327
1.186962495,0.969749842,9.227022002
1.192976315,0.982548173,9.224627836
1.155889056,0.952549249,9.163401055
1.110517113,0.887456624,9.078049929
1.137044648,0.924064547,9.113683361
1.221212328,0.969767726,9.225637367
1.228060327,0.982464945,9.221251202
1.124659539,0.840519871,9.051926024
1.108133063,0.786060445,9.033796266
1.066568037,0.666165034,9.015616381
1.09069835,0.723898083,9.021046155
1.179777586,0.403140045,9.0129248
1.130501956,0.516539434,9.012092819
1.161806603,0.46187582,9.012198827
1.097327931,0.615234876,9.013471557
1.127625445,0.572034409,9.01261398
1.167554755,0.555636047,9.012464273
1.269334245,0.270164508,9.022505864
1.252009557,0.32509941,9.016308591
1.234599822,0.381832084,9.013590991
1.353353116,0.173738151,9.047754141
1.324051587,0.233823194,9.029257139
1.555884637,0.067414338,9.128529756
1.518856709,0.079121026,9.113050618
1.482111046,0.101619832,9.091435811
1.398704141,0.152415453,9.057069462
1.44064978,0.125111167,9.072992931
1.58894722,0.078585247,9.113411202
1.646572443,0.045759725,9.165230979
